article_id;biomarker_name;biomarker_type;sample_type;detection_technique;key_results;disease_stage;advantages;limitations;clinical_application
"Fang, Hui; Xue, Kai; Yang, Teng2023";miR-107;Transcriptómico;Biopsia renal, sangre, Lisado de cultivo celular;Análisis de enriquecimiento, qRT-PCR;Downregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05). Su sobreexpresión in vitro atenuó la expresión de RUNX1T1 y FGF2.;;Muestra poco invasiva;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Fang, Hui; Xue, Kai; Yang, Teng2023";miR-199a-3p;Transcriptómico;Biopsia renal, sangre, Lisado de cultivo celular;Análisis de enriquecimiento, qRT-PCR;Upregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05). Su sobreexpresión in vitro atenuó la expresión de PRKCE y de TMED5.;;Muestra poco invasiva;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Fang, Hui; Xue, Kai; Yang, Teng2023";PRKCE (mRNA);Transcriptómico;Biopsia renal, sangre, Lisado de cultivo celular;Análisis de enriquecimiento, qRT-PCR;Downregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05). Downregulado in vitro en ADPKD qRT-PCR (p < 0.05). Inhibido in vitro por la sobreexpresión de miR-199a-3p.;;Muestra poco invasiva;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Fang, Hui; Xue, Kai; Yang, Teng2023";RUNX1T1 (mRNA);Transcriptómico;Biopsia renal, sangre, Lisado de cultivo celular;Análisis de enriquecimiento, qRT-PCR;Upregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05). Upregulado in vitro en ADPKD qRT-PCR (p < 0.05). Inhibido in vitro por la sobreexpresión de miR-107.;;Muestra poco invasiva;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Fang, Hui; Xue, Kai; Yang, Teng2023";TMED5 (mRNA);Transcriptómico;Biopsia renal, sangre, Lisado de cultivo celular;Análisis de enriquecimiento, qRT-PCR;Downregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05). Downregulado in vitro en ADPKD qRT-PCR (p < 0.05). Inhibido in vitro por la sobreexpresión de miR-199a-3p.;;Muestra poco invasiva;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Kim, Hyunsuk; Sung, Jinmo; Bae, Ju Young; Lee, Poongyeon; Oh, Yun Kyu; Kim, Hyunho2022";Osteopontina;Transcriptómico, bioquímico;Sobrenadante de cultivo celular, orina;RNA-seq, RT-PCR, ELISA;Sus niveles de mRNA eran inferiores en las células PKD2-/- respecto a las PKD2+/- y PKD2+/+ (p < 0.01), siendo los niveles de estas últimas dos indiferentes., y también en las células de quiste renal de pacientes con ADPKD. Al estudiar la expresión en células epiteliales del túbulo proximal vs células quísticas, el mRNA medido por RT-PCR era significativamente mayor en las primeras que en las segundas (p < 0.05), lo cual concordaba con el nivel de proteína medido por ELISA (p < 0.001). No se vieron diferencias entre las células quísticas. Por último, los niveles de OPN en orina medidos por ELISA mostraron diferencias significativas entre pacientes no ADPKD y ADPKD (p < 0.05) y también entre progresadores rápidos y lentos (p < 0.05).;Inicial;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes. Es importante ajustar por factores de confusión.;Diagnóstico, pronóstico, posible maracdor de progresión en progresadores rápidos.
"Kocyigit, Ismail; Ozturk, Fahir; Eroglu, Eray; Karaca, Zuleyha; Kaynar, Ahmet Safa; Cetin, Mustafa; Tokgoz, Bulent; Sipahioglu, Murat Hayri; Bayramov, Ruslan; Sen, Ahmet; Oymak, Oktay; Ecder, Tevfik; Axelsson, Jonas2019";Criterios de Síndrome Metabólico NCEP-ATP III (se considera MS si se cumplen al menos 3/5);Antropométrico, bioquímico;Antropométricos, sangre;Exploración física, análisis bioquímicos;"En el análisis multivariado, tener una mutación truncante en PKD1 predijo la presencia de SM (OR 1.25; p = 0.002). Los pacientes con ADPKD y SM también presentan una progresión más rápida de la enfermedad que aquellos que no tienen SM (OR 3.28; p = 0.035)";;Fácil extracción, poco invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión rápida.
"Kocyigit, Ismail; Taheri, Serpil; Uysal, Cihan; Memis, Mehmet; Ozayturk, Salih Guntug; Zararsiz, Gokmen; Rassoulzadegan, Minoo2022";Longitud de Telómeros;Genómico;Sangre;qRT-PCR;Se encontró una TL significativamente menor en pacientes ADPKD vs controles (p < 0.001). Aunque no se encontraron diferencias significativas entre PKD1 y PKD2, los pacientes con progresión rápida (todos PKD1 excepto uno con mutación en PKD2) tenían una TL significativamente mayor (p < 0.05).;;Fácil extracción, poco invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, posible maracdor de progresión en progresadores rápidos.
"Kocyigit, Ismail; Taheri, Serpil; Uysal, Cihan; Memis, Mehmet; Ozayturk, Salih Guntug; Zararsiz, Gokmen; Rassoulzadegan, Minoo2022";Nivel de expresión de TERRA;Transcriptómico;Sangre;qRT-PCR;Los niveles de TERRA eran significativamente más altos en pacientes ADPKD que en controles (p < 0.001). A pesar de no encontrar diferencias significativas entre PKD1 y PKD2, los pacientes con progresión rápida (todos PKD1 excepto uno con mutación en PKD2) mostraron una expresión de terra significativamente mayor (p < 0.001). En la regresión logística multivariable, un aumento en los niveles de TERRA predijo mayores probabilidades de ser rápido progresador en pacientes ADPKD (OR 5.6, p < 0.05).;;Fácil extracción, poco invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, posible maracdor de progresión en progresadores rápidos.
"Raby, Katie L.; Horsely, Harry; McCarthy-Boxer, Aidan; Norman, Jill T.; Wilson, Patricia D.2021";AVPR2;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;;Más presente en progresadores rápidos, sobre todo de isoformas de distinto peso molecular (70, 35, 25 KDa cuando el peso normal es de 40).;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión rápida.
"Raby, Katie L.; Horsely, Harry; McCarthy-Boxer, Aidan; Norman, Jill T.; Wilson, Patricia D.2021";Fetuína-A;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Su concentración incrementa con la gravedad de la enfermedad.;Aumenta su concentración con el progreso de la enfermedad;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Raby, Katie L.; Horsely, Harry; McCarthy-Boxer, Aidan; Norman, Jill T.; Wilson, Patricia D.2021";HSP90;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Expresada diferencialmente por progresadores rápidos en fases intermedias de la enfermedad (log2FC > 1.5, p < 0.05).;Inicial (en progresadores rápidos);Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión en progresadores rápidos.
"Raby, Katie L.; Horsely, Harry; McCarthy-Boxer, Aidan; Norman, Jill T.; Wilson, Patricia D.2021";SNX18;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Expresada diferencialmente por progresadores rápidos en fases intermedias de la enfermedad (log2FC > 1.5, p < 0.05).;Intermedia (en progresadores rápidos);Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión en progresadores rápidos.
"Raby, Katie L.; Horsely, Harry; McCarthy-Boxer, Aidan; Norman, Jill T.; Wilson, Patricia D.2021";VIP36;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Expresada diferencialmente por progresadores rápidos en fases intermedias de la enfermedad (log2FC > 1.5, p > 0.05).;Avanzada (en progresadores rápidos);Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión en progresadores rápidos.
"Raptis, Vassilios; Bakogiannis, Constantinos; Loutradis, Charalampos; Boutou, Afroditi K.; Lampropoulou, Ioanna; Intzevidou, Elena; Sioulis, Athanasios; Balaskas, Elias; Sarafidis, Pantelis A.2018";Angiopoyetina-2;Bioquímico;Sangre;ELISA;El Grupo A tenía niveles significativamente más altos (5.595,43 ± 3.390) en comparación con el Grupo B (3.854,41 ± 3.014,30, p = 0,018) y con los controles (1.069 ± 427,88 pg/mL, p < 0,001). También significativamente más alto en Grupo B vs Controles (p < 0,001). Este marcador tiene una fuerte correlación con la ADMA (r = 0,983, p < 0,001).;Aumenta su concentración con el progreso de la enfermedad;Fácil extracción, poco invasivo, presente incluso en fases iniciales;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Raptis, Vassilios; Bakogiannis, Constantinos; Loutradis, Charalampos; Boutou, Afroditi K.; Lampropoulou, Ioanna; Intzevidou, Elena; Sioulis, Athanasios; Balaskas, Elias; Sarafidis, Pantelis A.2018";Endocano;Bioquímico;Sangre;ELISA;El Grupo A tenía niveles significativamente más altos (7,17 ± 0,43 ng/mL) en comparación con el Grupo B (6,86 ± 0,59 ng/mL, p = 0,017) y con los controles (4,83 ± 0,69 ng/mL, p < 0,001). También significativamente más alto en Grupo B vs Controles (p < 0,001). Fuerte correlación con la ADMA (r = 0,908, p < 0,001).;Aumenta su concentración con el progreso de la enfermedad;Fácil extracción, poco invasivo, presente incluso en fases iniciales;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Raptis, Vassilios; Bakogiannis, Constantinos; Loutradis, Charalampos; Boutou, Afroditi K.; Lampropoulou, Ioanna; Intzevidou, Elena; Sioulis, Athanasios; Balaskas, Elias; Sarafidis, Pantelis A.2018";HIF-1a;Bioquímico;Sangre;ELISA;El Grupo A tenía niveles significativamente más altos (163,68 ± 37,84 pg/mL) en comparación con el Grupo B (136,84 ± 42,10 pg/mL, p = 0,019) y con los controles (70,20 ± 17,49 pg/mL, p < 0,001). También significativamente más alto en Grupo B vs Controles (p < 0,001). Este marcador tiene una fuerte correlación con la ADMA (r = 0,998, p < 0,001).;Aumenta su concentración con el progreso de la enfermedad;Fácil extracción, poco invasivo, presente incluso en fases iniciales;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Rauniyar, Navin; Yu, Xiaoqing; Cantley, Jennifer; Voss, Edward Z.; Belcher, Justin; Colangelo, Christopher M.; Stone, Kathryn L.; Dahl, Neera; Parikh, Chirag; Lam, TuKiet T.; Cantley, Lloyd G.2018";APOA1;Proteómico;Orina;Espectrometría de masas;Upregulado: log2FC > 3.7, FDR < 0.05). Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.;;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Rauniyar, Navin; Yu, Xiaoqing; Cantley, Jennifer; Voss, Edward Z.; Belcher, Justin; Colangelo, Christopher M.; Stone, Kathryn L.; Dahl, Neera; Parikh, Chirag; Lam, TuKiet T.; Cantley, Lloyd G.2018";APOA2;Proteómico;Orina;Espectrometría de masas;Upregulado: log2FC > 3.2, FDR < 0.05). Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.;;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Rauniyar, Navin; Yu, Xiaoqing; Cantley, Jennifer; Voss, Edward Z.; Belcher, Justin; Colangelo, Christopher M.; Stone, Kathryn L.; Dahl, Neera; Parikh, Chirag; Lam, TuKiet T.; Cantley, Lloyd G.2018";APOA4;Proteómico;Orina;Espectrometría de masas;Upregulado en ADPKD (log2FC > 4.7, FDR < 0.05). Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.;;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Rauniyar, Navin; Yu, Xiaoqing; Cantley, Jennifer; Voss, Edward Z.; Belcher, Justin; Colangelo, Christopher M.; Stone, Kathryn L.; Dahl, Neera; Parikh, Chirag; Lam, TuKiet T.; Cantley, Lloyd G.2018";DPEP1;Proteómico;Orina;Espectrometría de masas;Downregulado: log2FC < -1.2, FDR < 0.001). Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.;;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Rauniyar, Navin; Yu, Xiaoqing; Cantley, Jennifer; Voss, Edward Z.; Belcher, Justin; Colangelo, Christopher M.; Stone, Kathryn L.; Dahl, Neera; Parikh, Chirag; Lam, TuKiet T.; Cantley, Lloyd G.2018";EGF;Proteómico;Orina;Espectrometría de masas;Downregulado: log2FC < -1.5, FDR < 0.001). Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.;;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Rauniyar, Navin; Yu, Xiaoqing; Cantley, Jennifer; Voss, Edward Z.; Belcher, Justin; Colangelo, Christopher M.; Stone, Kathryn L.; Dahl, Neera; Parikh, Chirag; Lam, TuKiet T.; Cantley, Lloyd G.2018";GAS6;Proteómico;Orina;Espectrometría de masas;Downregulado: log2FC < -1.5, FDR < 0.001). Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.;;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
"Salih, Mahdi; Demmers, Jeroen A.; Bezstarosti, Karel; Leonhard, Wouter N.; Losekoot, Monique; van Kooten, Cees; Gansevoort, Ron T.; Peters, Dorien J. M.; Zietse, Robert; Hoorn, Ewout J.2016";Complemento C3;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD). Sobrerrepresentado en análisis de enriquecimiento. Correlación positiva y significativa con volumen renal total (r = 0.65, p < 0.01). El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una tendencia a una correlación moderada con el peso renal (r = 0.57, p = 0.05).;Todas;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes, su especificidad está en actual discusión.;Diagnóstico, pronóstico, respuesta a la terapia
"Salih, Mahdi; Demmers, Jeroen A.; Bezstarosti, Karel; Leonhard, Wouter N.; Losekoot, Monique; van Kooten, Cees; Gansevoort, Ron T.; Peters, Dorien J. M.; Zietse, Robert; Hoorn, Ewout J.2016";Complemento C9;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD). Sobrerrepresentado en análisis de enriquecimiento. Correlación positiva y significativa con volumen renal total (r = 0.65, p < 0.01). El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación moderada con el peso renal (r = 0.83, p < 0.01).;Todas;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes, su especificidad está en actual discusión.;Diagnóstico, pronóstico, respuesta a la terapia
"Salih, Mahdi; Demmers, Jeroen A.; Bezstarosti, Karel; Leonhard, Wouter N.; Losekoot, Monique; van Kooten, Cees; Gansevoort, Ron T.; Peters, Dorien J. M.; Zietse, Robert; Hoorn, Ewout J.2016";Envoplakina;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD). Sobrerrepresentado en análisis de enriquecimiento. Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot). Correlación positiva y significativa con volumen renal total (r = 0.71, p < 0.01). El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación con el peso renal (r = 0.71, p < 0.01).;Avanzada;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes, útil solo para fases avanzadas de ADPKD.;Diagnóstico, pronóstico, respuesta a la terapia
"Salih, Mahdi; Demmers, Jeroen A.; Bezstarosti, Karel; Leonhard, Wouter N.; Losekoot, Monique; van Kooten, Cees; Gansevoort, Ron T.; Peters, Dorien J. M.; Zietse, Robert; Hoorn, Ewout J.2016";Periplakina;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD). Sobrerrepresentado en análisis de enriquecimiento. Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot). Correlación positiva y significativa con volumen renal total (r = 0.51, p < 0.005). El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación baja y no significativa con el peso renal (r = 0.21, p = 0.5).;Avanzada;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes, útil solo para fases avanzadas de ADPKD.;Diagnóstico, pronóstico, respuesta a la terapia
"Salih, Mahdi; Demmers, Jeroen A.; Bezstarosti, Karel; Leonhard, Wouter N.; Losekoot, Monique; van Kooten, Cees; Gansevoort, Ron T.; Peters, Dorien J. M.; Zietse, Robert; Hoorn, Ewout J.2016";Villina-1;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot;Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD). Sobrerrepresentado en análisis de enriquecimiento. Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot). Correlación positiva y significativa con volumen renal total (r = 0.51, p < 0.005). El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación con el peso renal (r = 0.64, p < 0.05).;Avanzada;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes, útil solo para fases avanzadas de ADPKD.;Diagnóstico, pronóstico, respuesta a la terapia
"van Heugten, Martijn H.; Blijdorp, Charles J.; Arjune, Sita; van Willigenburg, Hester; Bezstarosti, Karel; Demmers, Jeroen A. A.; Musterd-Bhaggoe, Usha; Meijer, Esther; Gansevoort, Ron T.; Zietse, Robert; Hayat, Sikander; Kramann, Rafael; Müller, Roman-Ulrich; Salih, Mahdi; Hoorn, Ewout J.2024";MMP7;Proteómico (Vesícula Extracelular);Orina;Espectrometría de masas, Inmunoblot, snRNA-seq;"MMP-7 fue sistemáticamente mayor en las VE urinarias de progresadores rápidos (p < 0,001). La validación interna por inmunoblot de esos análisis confirmó una abundancia significativamente mayor de MMP-7 en los progresadores rápidos en comparación con los pacientes de progreso más estable (p < 0,01). Más aún, al normalizar estas medidas por CD9 (marcador de VE urinaria) esta mayor abundancia de MMP-7 en progresadores rápidos persistió (p < 0,01), igual que al medir su abundancia en la excreción de orina durante 24 horas (p < 0,01). Finalmente, al hacer una validación externa en otros dos grupos de pacientes, la MMP-7 de VE también fue significativamente mayor en los progresadores rápidos (p < 0,05, p < 0,01).

Al hacer regresión lineal, la MMP-7/creatinina se correlacionó significativamente con el descenso de la eGFR en todos los modelos (univariante y multivariante), pero ninguno arrojó un valor R2 superior a 0,08. También se compararon medidas de MMP-7 en VE vs orina, siendo la primera significativamente superior en varios grupos (p < 0,05, p < 0,01). Además, estas dos medidas presentaban una correlación débil y no significativa. 

A continuación, se realizó snRNA-seq de muestras de riñón donde la MMP-7 presentó una abundancia notablemente superior en el tejido de ADPKD vs en el de control sano. Además, esta se detectó su expresión diferencial en las células del túbulo proximal y de la rama ascendente gruesa del asa de Henle, donde también se observó una mayor expresión de genes profibróticos. Por último, al re-analizar datos de un estudio anterior no se detectó MMP-7 en individuos sanos, mientras que esta sí fue detectable y 13 veces mayor en la ERC con ADPKD en comparación con la ERC sin ADPKD.";Inicial e intermedia;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes. Es importante ajustar por factores de confusión.;Posible marcador de progresión rápida.
"Zhang, Chao; Yang, Yanlang2024";CGT;Bioquímico;Sangre;Randomización mendeliana;La randomización mendeliana con el método IVW arrojó un OR de 1.28 (p < 0.05), no se detectó heterogeneidad (Cochran's Q = 256.690, p = 0.81) ni pleiotropía (intercept = 0.011, p = 0.125), ni tampoco pleiotropía horizontal por el test de MR-PRESSO (p = 0.8).;Inicial;Fácil extracción, poco invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes. Es importante ajustar por factores de confusión.;Diagnóstico, pronóstico, respuesta a la terapia
"Zhang, Chao; Yang, Yanlang2024";SHBG;Bioquímico;Sangre;Randomización mendeliana;La randomización mendeliana con el método IVW arrojó un OR de 1.27 (p < 0.05) no se detectó heterogeneidad (Cochran's Q = 211.479, p = 0.94) ni pleiotropía (intercept = 0.001, p = 0.87) ni pleiotropía horizontal por el test de MR-PRESSO (p = 0.95).;Inicial;Fácil extracción, poco invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes. Es importante ajustar por factores de confusión.;Diagnóstico, pronóstico, respuesta a la terapia
